ID,Birth date,Development Treatment,Calan Treatment,Pen #,Initial BW,Final BW,DMI,ADG,Gest Length,Calved First 21 Days,1st Calf BW,Calving Ease,Calf Vigor,Birth date .1,Sire,SEX,Final Calf BW,HCW,REA,YG,BF
800,29-Mar,DLLO,MET,4.0,1040,1128,.,0.94,282,1,83,1,2,2/29/2020,4708,STR,1340,844,14.45,2.99,0.614
804,7-Mar,DLLO,MET,2.0,1046,1144,.,1.04,272,1,69,1,1,2/29/2020,4705,HFR,1360,857,13.76,3.29,0.621
805,10-Mar,DLLO,CON,1.0,1017,1171,.,1.64,271,1,68,1,1,2/18/2020,261,HFR,1352,852,14.54,3.14,0.653
806,.,RANGE,MET,4.0,1013,1114,.,1.07,307,0,77,1,1,3/25/2020,4708,HFR,1187,748,12.84,5.61,1.596
809,18-Mar,DLLO,DDG,2.0,1115,1180,.,0.7,279,1,71,1,1,2/27/2020,4708,HFR,1265,797,13.16,3.75,0.793
810,5-May,DLHI ,MET,3.0,1074,1224,.,1.59,276,1,75,1,1,2/23/2020,4708,STR,1271,801,12.98,3.57,0.712
812,14-Mar,DLLO,CON,2.0,1048,1102,.,0.58,278,1,80,1,1,2/24/2020,4705,STR,1359,856,12.89,3.54,0.611
813,24-Apr,DLHI ,DDG,3.0,1036,1118,.,0.87,279,1,77,1,1,2/27/2020,4708,STR,1305,822,12.06,4.37,0.875
815,9-Mar,DLLO,DDG,3.0,947,1152,.,2.18,274,1,.,1,1,2/20/2020,4705,STR,1294,815,13.72,3.41,0.723
817,26-Feb,DLLO,DDG,1.0,996,1187,.,2.03,267,1,68,1,1,2/14/2020,4708,STR,1456,917,13.72,4.25,0.89
820,13-Apr,DLHI ,MET,4.0,1115,1116,.,0.01,279,1,86,1,1,2/25/2020,4708,STR,1619,1020,15.67,3.86,0.857
821,8-Mar,DLHI ,MET,1.0,1133,1078,.,-0.58,.,.,.,.,.,.,4708,STR,1219,768,13.05,3.14,0.588
822,6-Mar,DLHI ,DDG,1.0,1078,1123,.,0.47,268,1,65,1,1,2/15/2020,4705,HFR,1276,804,13.66,2.86,0.512
823,12-Mar,DLLO,CON,3.0,974,1108,.,1.43,276,1,67,1,1,2/23/2020,4708,STR,1373,865,13.56,3.43,0.646
824,.,.,DDG,4.0,1090,1207,.,1.24,280,1,92,1,1,2/27/2020,4705,STR,.,.,.,.,.
826,2-Mar,RANGE,CON,3.0,1088,1099,.,0.11,280,1,67,1,1,2/27/2020,4708,STR,1483,934,14.52,3.29,0.609
832,9-Mar,.,MET,2.0,1053,1040,.,-0.14,278,1,68,1,1,2/24/2020,261,STR,1390,876,13.03,4.29,0.87
836,26-Feb,DLHI ,DDG,2.0,1018,1117,.,1.05,277,1,98,3,1,2/25/2020,4708,STR,1662,1047,15.62,3.48,0.66
841,12-Mar,DLHI ,DDG,4.0,1026,1113,.,0.93,273,1,61,1,2,2/29/2020,4705,HFR,1329,837,14.62,3.43,0.804
842,25-Feb,DLHI ,CON,3.0,1020,1104,.,0.89,278,1,62,1,1,2/26/2020,261,HFR,1273,802,15.89,1.94,0.445
843,4-Mar,DLLO,DDG,4.0,1093,1135,.,0.44,276,1,73,1,1,2/22/2020,4705,STR,1363,859,13.08,3.56,0.642
848,9-Mar,DLLO,DDG,1.0,1060,1123,.,0.67,280,1,67,1,1,2/27/2020,4708,HFR,971,612,12.19,2.14,0.334
852,18-Mar,RANGE,MET,3.0,1065,1098,.,0.35,299,0,56,1,3,3/16/2020,4708,HFR,.,.,.,.,.
854,23-Feb,DLLO,CON,4.0,1072,1106,.,0.37,271,1,56,1,2,2/18/2020,4708,HFR,1208,761,11.94,4.07,0.8
855,10-Apr,DLLO,MET,1.0,1082,1186,.,1.11,283,1,62,1,1,3/1/2020,261,HFR,1365,860,13.42,3.55,0.681
861,24-Feb,DLHI ,CON,4.0,1145,1073,.,-0.77,292,0,61,1,1,3/9/2020,261,HFR,1246,785,14.38,2.95,0.652
863,2-Mar,DLHI ,CON,1.0,1061,1181,.,1.27,276,1,84,1,1,2/24/2020,4708,HFR,1533,966,16.54,3.28,0.798
869,23-Feb,DLHI ,MET,1.0,1093,1190,.,1.03,276,1,67,1,1,2/22/2020,4705,HFR,1365,860,13.91,3.62,0.755
872,12-Mar,DLLO,CON,3.0,1092,1037,.,-0.59,275,1,75,1,5,2/22/2020,4705,HFR,.,.,.,.,.
877,19-Mar,RANGE,DDG,2.0,1006,1033,.,0.29,276,1,66,1,1,2/22/2020,261,HFR,1189,749,14.71,2.3,0.502
878,9-Apr,DLLO,DDG,3.0,1100,1129,.,0.31,275,1,69,1,1,2/22/2020,4705,HFR,1373,865,12.48,4.64,0.966
884,17-Feb,DLHI ,CON,2.0,1095,1142,.,0.5,275,1,70,1,1,2/22/2020,261,STR,1690,1065,15.05,4.65,1.01
885,10-Mar,RANGE,CON,2.0,1095,1160,.,0.7,277,1,75,1,1,2/24/2020,4708,STR,1452,915,13.38,3.94,0.736
888,4-Mar,DLLO,MET,2.0,1079,1142,.,0.67,271,1,75,1,2,2/18/2020,4705,STR,.,.,.,.,.
889,.,.,MET,3.0,996,1065,.,0.73,.,.,.,.,.,.,.,.,.,.,.,.,.
898,11-Apr,DLLO,CON,1.0,923,1176,.,2.69,274,1,66,1,1,2/21/2020,4708,HFR,1086,684,11.77,3.83,0.795
